port_name,closest_name,closest_distance
CLARKSON,PORT CREDIT,5719.842432285225
CLAVERIA,APARRI,64317.43290097337
CLAYTON,GANANOQUE,14487.7531292407
CLIFTON PIER,NASSAU,22177.17333714216
COAL HARBOR,BERGH COVE,7777.927078577747
COATZACOALCOS,NANCHITAL,9266.221366423095
COBH,CORK,2289.567133563001
COCKBURN,MELDRUM BAY,15575.448865997952
COCKBURN TOWN,NASSAU,307139.1270702337
COLCHESTER,IPSWICH,25234.917638462794
COLD BAY,KING COVE,29533.098979447164
COLLINGWOOD,TARAKOHE,27011.020245229392
COLOMBO,GALLE HARBOR,111408.28051420693
COLONIA,PUERTO SAUCE,36864.27887293811
COLUMBIA,HERTFORD,35477.556172945464
COME BY CHANCE HARBOR,CLARENVILLE,39233.41621026405
COMODORO RIVADAVIA,PUERTO DESEADO,240969.24249819526
COMOX HARBOR,WESTVIEW,34195.58429636862
CONCARNEAU,LORIENT,44262.36563778054
CONCHAN OIL TERMINAL,PUERTO DEL CALLAO,20838.68265923596
CONCHE,RODDICKTON,16476.51622076288
CONNEAUT,ASHTABULA,21968.640313734097
CONSTANTA,BASARABI,17281.795556583165
CONSTANTINE HARBOR,KISKA,136106.26129949925
CONTRECOUR,SOREL,19619.849538731865
CONVENT,ST. JAMES,10318.494784167418
COPPER HARBOR,EAGLE HARBOR,22550.986994873503
COPPERMINE,LADY FRANKLIN POINT,105936.36558836052
COREA,WINTER HARBOR,9453.393753413133
CORINTO,PUERTO SANDINO,54779.77466353266
CORK,COBH,2289.567133563001
CORNER BROOK,STEPHENVILLE,63057.29778743355
CORNUCOPIA,BAYFIELD,22792.630197054976
CORNWALL,SOUTH LANCASTER,22449.785943129304
CORONEL,LOTA,7559.105602949598
CORPACH,FORT WILLIAM,3706.4663075485028
COTEAU LANDING,ST ZOTIQUE,3914.1493631737976
COTONOU,TIN CAN ISLAND,101303.51413558831
COUPEVILLE,PORT TOWNSEND,13882.659487580599
COURTRIGHT,ST CLAIR,1359.3653854401111
COWES HARBOUR,FAWLEY MARINE TERMINAL,6033.289681522873
COWICHAN BAY,CROFTON,13030.082290612214
COXEN HOLE,PUERTO ESTE,45496.276751458616
CRAB BAY,PORT ASHTON,2774.273176899353
CRAIG,KLAWOCK,9786.488265086333
CRESCENT CITY,SAMOA,103791.40044057998
CRIEHAVEN,MATINICUS,3706.5775026509095
CRINAN (CANAL),ARDRISHAIG,10365.33726511546
CROCKETT,PORT COSTA,2918.8303855774275
CROTONE,VIBO VALENTIA MARINA,95659.72999812369
CRUZ BAY,CHARLOTTE AMALIE,14194.2785055974
CUETA,TANGIER-MEDITERRANEAN,18014.529288808528
CUMBERLAND,MASSON,2262.7718549465367
CUNDY HARBOR,SOUTH HARPSWELL,10895.11692869422
DAESAN HANG,PYEONGTAEK HANG,35566.14105095325
DAGU TANGGU,TIANJIN XIN GANG,14409.193678813119
DAI HANG,MUI VUNG TAU,270200.98697778187
DAKAR,M BAO OIL TERMINAL,5156.74154897803
DALHOUSIE,CARAQUET,110822.18064739533
DALVIK,OLAFSFJORDHUR,12304.949052401469
DAMIETTA,BUR SAID (PORT SAID),57504.80973457308
DANDONG,NAMPO,162909.72034123755
DANUBE-BLACK SEA CANAL,MEDGIDIA,6890.463699948882
DARU,KUMUL,184750.28476993088
DARWIN,WYNDHAM,446444.5215951212
DAVISVILLE DEPOT,QUONSET POINT,3706.577502650841
DE KASTRI,LAZAREV,97431.48015746611
DEAUVILLE,HONFLEUR,11137.087793919527
DEEPWATER POINT,WILMINGTON,4676.158862067054
DEER PARK,HOUSTON,4826.972713250512
DEERING,KOTZEBUE,92900.9622539419
DEFTERDAR BURNU,HAYDARPASA,5732.844341061389
DELFZIJL,EEMSHAVEN,14569.280101984152
DELTA TERMINAL,BOTAS DORTYOL OIL TERMINAL,3497.158779078096
DEPERE,GREEN BAY,8407.578365934698
DEPOE BAY,NEWPORT,18579.286165723726
DEPOT HARBOUR,PARRY SOUND,5531.651510502498
DERINCE BURNU,GOLCUK BURNU,1853.2887513248538
DESBARATS,HILTON,9613.667008055665
DESTREHAN,ST ROSE,4817.313148808845
DEVONPORT,BEAUTY POINT,37850.222563409145
DHIAVLOS STENO,CHALKIS,1853.2887513250535
DIAMANTE,PARANA,40446.904856121604
DIDON TERMINAL,BOURI OIL FIELD,70471.45940440329
DIEGO GARCIA,MALE,1285720.1050011788
DIGBY,ANNAPOLIS ROYAL,24707.59915616847
DIKILI,ALIAGA,22747.259960107443
DILI,KUPANG,284839.76550643274
DILLINGHAM,CLARKS POINT,20741.371220780835
DISCOVERY BAY,ALOTOA,11701.989098944174
DJENO TERMINAL,POINTE NOIRE,18241.62562726275
DJIBOUTI,DORALEH,5446.1984425210985
DOHA HARBOR,AL KUWAYT,13441.936190561139
